"","Coriobacteriaceae","Actinobacteria","Alphaproteobacteria","Bacteroidetes","Bacteroidales","Bacteroidetes.1","Porphyromonadaceae","Campylobacter","Proteobacteria","Erysipelotrichaceae","Fusobacteriales","Firmicutes"
"Sample-57",3,17,0,3411,293,0,57,0,131,60,16,2445
"Sample-60",7,184,0,4274,484,0,33,57,1285,14,39,1680
"Sample-62",10,188,0,2594,745,0,23,0,341,5,2800,1876
"Sample-63",4,172,0,2627,417,0,18,104,1351,0,81,4144
"Sample-66",5,85,1,1446,1288,0,21,165,46,0,272,5350
"Sample-67",37,100,0,3912,458,1,48,31,658,9,44,3536
"Sample-72",26,231,0,1369,335,0,1,64,124,6,289,5907
"Sample-73",44,109,0,5195,169,0,29,0,79,23,2,3636
"Sample-75",4,22,0,282,31,0,1,4,630,3,43,6940
"Sample-76",26,78,0,2938,547,0,45,0,327,2,0,4162
"Sample-78",7,358,0,222,60,0,0,7,29,5,7,1337
"Sample-81",11,296,2,1611,527,1,6,462,115,0,201,2929
"Sample-82",68,1376,0,1189,150,0,2,8,949,18,7,2574
"Sample-84",50,162,2,3364,196,0,7,1,698,3,25,3025
"Sample-86",29,85,0,2108,435,8,31,34,219,4,29,3792
"Sample-87",34,348,0,2753,570,7,40,512,440,1,58,2621
"Sample-89",19,52,0,1899,478,0,40,0,121,2,1,5506
"Sample-91",14,115,0,2022,804,0,23,177,806,0,131,3928
"Sample-92",82,249,0,1969,89,0,4,6,827,1,3068,1505
"Sample-93",10,100,2,2144,117,0,35,1,3240,3,0,1698
"Sample-98",27,105,0,1281,356,0,14,13,3197,1,0,1321
