Type,Antigen,Month,MDS1,MDS2,MDS3,MDS4,MDS5,MDS6,MDS7,MDS8,MDS9,MDS10
IgA,gp41,0,0.6528423379148505,0.6072001459218357,0.40136635574402774,0.7022873698339375,0.7860282909618882,0.6504862774456249,0.24238083415604997,0.34934118194527924,0.03844786971310828,0.699533040540609
IgA,gp41,6.5,0.16782649529519988,0.3680443300617702,0.7011007001394969,0.9540930394173209,0.11248964213024312,0.14218151790814657,0.4558569579936198,0.4750539299347585,0.7890630951520772,0.8644850613951921
IgA,gp41,12,0.8552135589117322,0.2009056652077716,0.46176104650572686,0.40771966412350086,0.9940853023458889,0.798314886086825,0.4690827412842958,0.10563972823941013,0.07915788260935246,0.23197601218353703
IgA,p24,0,0.3350265106709171,0.628939517005453,0.5204310057664333,0.939399026062294,0.6655796817657198,0.6571716279236329,0.147650698000964,0.8526708056408656,0.9212197513034546,0.5171833335399678
IgA,p24,6.5,0.6515789124091507,0.2813199496806996,0.6809125500972631,0.41350878132893387,0.438413038034689,0.5993481313409728,0.9989335711255456,0.19876409315033788,0.8808674431126976,0.3512339581447682
IgA,p24,12,0.3981162934489239,0.7236716737881598,0.22744213140196204,0.20223044650266744,0.12778174716100751,0.4653311467159203,0.4448599793228089,0.15630246320153948,0.5164387218931338,0.1588934289051312
IgG,Con.6.gp120.B,6.5,0.017491162611493537,0.5364234570400461,0.4200660335791342,0.8898408296678111,0.32502666197330776,0.4272928768561113,0.8528816473503397,0.8064618412201643,0.633758223026955,0.24974655303633422
IgG,Con.6.gp120.B,12,0.03146660846798397,0.8775131668039317,0.37744885402782263,0.6347355993969898,0.9885772862435495,0.5396032161385858,0.5687684290542399,0.3741774400062797,0.6855464460470235,0.29864089558024026
IgG,gp41,0,0.03994921280586754,0.8942843735062328,0.30434128923206055,0.9671176762120856,0.44166640969459386,0.23071809760582204,0.5036276173393807,0.5953051073169033,0.8559639638633958,0.5093698178528943
IgG,gp41,6.5,0.056743193858708504,0.27443384156844813,0.22642106163545256,0.8911440209211579,0.8583719300949766,0.16469387107002745,0.6013773266322141,0.42622677059637726,0.2115398155662786,0.6059842120122845
IgG,gp41,12,0.7792988642984005,0.3097351979450186,0.44252186721807674,0.2276396499013362,0.6804416546205578,0.2679076629768492,0.9953340650792584,0.03909822003954932,0.35698079055380527,0.05430475846870282
IgG,gp70 B.CaseA V1-V2,6.5,0.6209121849647665,0.8534310861423395,0.2997457371757409,0.4580607440074974,0.5073998778176807,0.6904574564461572,0.505687868929501,0.16116862968279666,0.03937847589496698,0.8798298929275903
IgG,gp70 B.CaseA V1-V2,12,0.03731702135572036,0.6647681041328033,0.8079266594299508,0.4469933563618334,0.3181010350007305,0.2962810802860103,0.7429133755159811,0.14326397675897726,0.40327522165884655,0.2763380722114173
IgG,p24,0,0.45074450764097224,0.230678906750252,0.9861470915648738,0.08764399693406334,0.14892175063172605,0.05098642888709437,0.8823727303916525,0.5073830197558422,0.3840293807800772,0.43871771421487005
IgG,p24,6.5,0.4041951595197153,0.8278702647429017,0.24271549182885901,0.2502714586651248,0.6888306667311341,0.08192653629469647,0.18006310641752646,0.8457027654593721,0.359810432606419,0.10099910740753787
IgG,p24,12,0.1824218816322834,0.7209067454607676,0.23680503279734866,0.6763779923054224,0.9329910641940531,0.37112425221449447,0.04177359760442618,0.42319966895824795,0.7158048934541482,0.14728773953046
IgG,ZM96.gp140,6.5,0.029931469889254637,0.6313014768222718,0.2437660492947339,0.7501628269894371,0.23415325788600402,0.9490260958801103,0.8901503130193276,0.9939418233937117,0.09035332149710633,0.5042644998568407
IgG,ZM96.gp140,12,0.18551145941733377,0.3529847350671178,0.286478368667752,0.7217152073978645,0.8888452867729889,0.408651920183709,0.4586089220162281,0.37608466147326963,0.020967307461179606,0.1885173232365021
CD4+,Any ENV PTEG,6.5,0.23715777847362562,0.5550769358595427,0.7705308567724689,0.10765710350844718,0.23739920850142954,0.10428630226701936,0.7168801360406555,0.0837813473180053,0.6265107963547454,0.3190151812960738
CD4+,Any ENV PTEG,12,0.24761754279637332,0.5645822737662927,0.43388054763371625,0.10319251297405035,0.11656037448935043,0.8555350682066952,0.8609070063073508,0.127833571873713,0.7734209301982454,0.7231071157200742
